accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.715096652507782,0.6029838919639587,0.7350910305976868,0.5390097498893738,0.0010000000474974513,1
0.7391539216041565,0.5358948111534119,0.765013575553894,0.49126479029655457,0.0010000000474974513,2
0.7468577027320862,0.5049731731414795,0.7089349031448364,0.5502161979675293,0.0010000000474974513,3
0.7633463740348816,0.4890167713165283,0.7260933518409729,0.5089051127433777,0.0010000000474974513,4
0.7745641469955444,0.46973296999931335,0.7480644583702087,0.4991310238838196,0.0010000000474974513,5
0.7826733589172363,0.45040151476860046,0.7489014267921448,0.512265145778656,0.0010000000474974513,6
0.7803757190704346,0.45393627882003784,0.7294412851333618,0.5070032477378845,0.0010000000474974513,7
0.798621416091919,0.4253365993499756,0.7564343810081482,0.49451687932014465,0.0010000000474974513,8
0.798621416091919,0.42386361956596375,0.76375812292099,0.47875311970710754,0.0010000000474974513,9
0.7592917680740356,0.5025348663330078,0.8001673817634583,0.47411465644836426,0.0010000000474974513,10
