accuracy,loss,val_accuracy,val_loss,epoch
0.29698389768600464,2.2538037300109863,0.440952867269516,1.6423149108886719,1
0.4214928448200226,1.7355461120605469,0.5134313106536865,1.3362255096435547,2
0.4873906970024109,1.4606448411941528,0.46452102065086365,1.5694475173950195,3
0.48846787214279175,1.4557677507400513,0.5326913595199585,1.2498430013656616,4
0.5492333173751831,1.2241947650909424,0.5881905555725098,1.0643998384475708,5
0.5544291138648987,1.2209004163742065,0.6127724051475525,1.0345004796981812,6
0.5906095504760742,1.0861895084381104,0.6355803608894348,0.9205648899078369,7
0.6086680889129639,1.0319676399230957,0.6588950753211975,0.8862534165382385,8
0.6490305662155151,0.9187573194503784,0.6741003394126892,0.820793092250824,9
0.6635407209396362,0.863197922706604,0.7055245637893677,0.7399188280105591,10
