accuracy,loss,val_accuracy,val_loss,epoch
0.2884792685508728,2.243950128555298,0.431801438331604,1.6428821086883545,1
0.4414132237434387,1.6247942447662354,0.504792332649231,1.3722827434539795,2
0.5078340768814087,1.3769149780273438,0.5151143074035645,1.344942569732666,3
0.5546543598175049,1.2403877973556519,0.5448513031005859,1.1732382774353027,4
0.5712442398071289,1.1784083843231201,0.6001474857330322,1.051482915878296,5
0.6173272132873535,1.023258090019226,0.6458589434623718,0.9364521503448486,6
0.6427035331726074,0.9409719705581665,0.6532317399978638,0.9136983156204224,7
0.6436251997947693,0.9564188122749329,0.6613418459892273,0.8769016861915588,8
0.6569585204124451,0.9030452370643616,0.6778078079223633,0.8508498668670654,9
0.6758832335472107,0.8338931202888489,0.6812484860420227,0.8289041519165039,10
0.6954838633537292,0.7833117842674255,0.7085279226303101,0.7435002326965332,11
0.7147772908210754,0.7321822643280029,0.7193413376808167,0.716120183467865,12
0.7206144332885742,0.7057021856307983,0.7235192656517029,0.7276972532272339,13
0.7305683493614197,0.6883381009101868,0.746620774269104,0.6474207043647766,14
0.7546544075012207,0.6181407570838928,0.7552224397659302,0.6612721085548401,15
0.7658371925354004,0.5806064605712891,0.7714425921440125,0.5848418474197388,16
0.7634408473968506,0.5966535806655884,0.7500614523887634,0.6150144338607788,17
0.7652841806411743,0.6026368141174316,0.6991890072822571,0.9038541913032532,18
0.778064489364624,0.5608044862747192,0.7618579268455505,0.5957648158073425,19
0.7956374883651733,0.5017629265785217,0.7648071050643921,0.6272221803665161,20
0.7990168929100037,0.4919815957546234,0.7768493294715881,0.5810465216636658,21
0.8103840351104736,0.47451260685920715,0.7731629610061646,0.5872279405593872,22
0.8093394637107849,0.46412456035614014,0.7930695414543152,0.5379116535186768,23
0.8176344037055969,0.44846129417419434,0.7906119227409363,0.532088041305542,24
0.8251920342445374,0.4353749752044678,0.7992135882377625,0.5439999103546143,25
0.8277112245559692,0.42560631036758423,0.7955271601676941,0.5553973913192749,26
0.8336712718009949,0.411897748708725,0.8021627068519592,0.5589507222175598,27
0.8422119617462158,0.38789522647857666,0.7989677786827087,0.5451112389564514,28
0.8446083068847656,0.3793841004371643,0.8230523467063904,0.4953930974006653,29
0.848786473274231,0.36844006180763245,0.7928237915039062,0.5538824200630188,30
0.846513032913208,0.3779390752315521,0.8336200714111328,0.4791213274002075,31
0.8433794379234314,0.39091920852661133,0.8296878933906555,0.4698302149772644,32
0.8575115203857422,0.3461892008781433,0.8075694441795349,0.5400518774986267,33
0.8627342581748962,0.3353251516819,0.835831880569458,0.462520033121109,34
0.8484792709350586,0.3774366080760956,0.8269845247268677,0.5167001485824585,35
0.8497081398963928,0.3698877990245819,0.8331285119056702,0.46947920322418213,36
0.8699846267700195,0.3107418119907379,0.8422216773033142,0.45203015208244324,37
0.8678955435752869,0.3244078755378723,0.8488572239875793,0.4399232864379883,38
0.8619969487190247,0.3437659740447998,0.8476284146308899,0.4533543884754181,39
0.8755760192871094,0.3012571930885315,0.8279675841331482,0.5178803205490112,40
0.872872531414032,0.3272089958190918,0.8397640585899353,0.4775315225124359,41
0.8822734355926514,0.29566994309425354,0.8540182113647461,0.41663920879364014,42
0.8925345540046692,0.25807952880859375,0.8513148427009583,0.44691556692123413,43
0.8799999952316284,0.29620561003685,0.8557385206222534,0.4313264787197113,44
0.8774808049201965,0.2987101674079895,0.8454165458679199,0.44479799270629883,45
0.8793855309486389,0.30084511637687683,0.8456622958183289,0.4460185468196869,46
0.889032244682312,0.2718249261379242,0.8510690331459045,0.4280792474746704,47
0.8873732686042786,0.27346864342689514,0.861636757850647,0.4187038540840149,48
0.8961597681045532,0.25872620940208435,0.8540182113647461,0.4173959791660309,49
0.8925345540046692,0.2675010859966278,0.8417301774024963,0.45305198431015015,50
0.8973886370658875,0.2567926049232483,0.8719587326049805,0.39363041520118713,51
0.8992934226989746,0.2518009841442108,0.852297842502594,0.44401004910469055,52
0.8928417563438416,0.27203789353370667,0.8643401265144348,0.4064292907714844,53
0.897327184677124,0.25208747386932373,0.8454165458679199,0.43748605251312256,54
0.904823362827301,0.2373519092798233,0.8601621985435486,0.43230295181274414,55
0.9026113748550415,0.2423468828201294,0.8663062453269958,0.4159798324108124,56
0.9017511606216431,0.24759867787361145,0.8360776901245117,0.48786571621894836,57
0.9024270176887512,0.24230705201625824,0.8665519952774048,0.40570810437202454,58
0.9104762077331543,0.218917578458786,0.8758909106254578,0.3898237645626068,59
0.9015668034553528,0.24185557663440704,0.8594249486923218,0.4341900646686554,60
0.9074040055274963,0.2259860336780548,0.8525436520576477,0.4624280631542206,61
0.9130568504333496,0.21903391182422638,0.8586876392364502,0.4170994460582733,62
0.9162518978118896,0.2051330804824829,0.8672892451286316,0.418182909488678,63
0.9196927547454834,0.19871574640274048,0.8680265545845032,0.4657405614852905,64
0.9119508266448975,0.22215481102466583,0.8621282577514648,0.4543396830558777,65
0.9231336116790771,0.18934199213981628,0.8731875419616699,0.40002864599227905,66
0.9153302907943726,0.2090940624475479,0.8768739104270935,0.4259200990200043,67
0.9168663620948792,0.2168901264667511,0.8631113171577454,0.45937857031822205,68
0.919385552406311,0.19631406664848328,0.8874416351318359,0.36845624446868896,69
0.9190168976783752,0.21736377477645874,0.8741705417633057,0.42800506949424744,70
0.9246082901954651,0.18774236738681793,0.8758909106254578,0.4172114431858063,71
0.9204915761947632,0.19321583211421967,0.8729417324066162,0.4306095540523529,72
0.9258371591567993,0.18301309645175934,0.8832637071609497,0.4015786647796631,73
0.9247311949729919,0.19268348813056946,0.8857213258743286,0.3828890323638916,74
0.9346851110458374,0.16011932492256165,0.8844925165176392,0.3708874583244324,75
0.9319201111793518,0.16993138194084167,0.8869501352310181,0.3980516195297241,76
0.9287864565849304,0.18230867385864258,0.8967805504798889,0.39556649327278137,77
0.9273118376731873,0.1840282529592514,0.8854755759239197,0.40315011143684387,78
0.9283563494682312,0.18451867997646332,0.8948144316673279,0.37792497873306274,79
