timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1778957991.4745893,-0.4796026611328125,-0.42227188110351577,2.422562255859375,-0.008013690821826458,0.046118319034576416,-0.037799518555402756
1778957991.507378,-0.5495072937011719,-0.3691323852539057,2.6255401611328124,-0.026389047503471375,-0.015652615576982498,0.007923038676381111
1778957991.5272574,-0.5408253479003906,-0.36284545898437415,2.4604335021972656,-0.03641887009143829,-0.028134115040302277,0.012725263833999634
1778957991.5439785,-0.5758525085449219,-0.3841012573242182,2.4764501953125,0.006981236860156059,-0.0216202475130558,0.005561271216720343
1778957991.5655308,-0.5087919616699219,-0.375269622802735,2.3873854064941407,0.027290385216474533,0.004261573776602745,-0.007666201330721378
1778957991.582111,-0.49531997680664064,-0.39263351440429695,2.412084045410156,-0.007894309237599373,-0.0062689101323485374,-0.012853464111685753
1778957991.606864,-0.5004093933105469,-0.378562774658203,2.4174728393554688,-0.0028947312384843826,-0.027803882956504822,-0.009286959655582905
1778957991.6309595,-0.5189707946777344,-0.38859191894531264,2.359243927001953,-0.009403025731444359,-0.002931562252342701,-0.004020716529339552
1778957991.65109,-0.5210664367675781,-0.35027160644531286,2.355052642822266,0.01727154105901718,0.013647407293319702,-0.013842136599123478
1778957991.7059371,-0.528101806640625,-0.38993911743164134,2.480940856933594,-0.020269887521862984,-0.019241785630583763,0.015981396660208702
1778957991.7281644,-0.5152285766601563,-0.47256729125976626,2.321971435546875,-0.007500844541937113,0.0033596912398934364,0.005973604507744312
1778957991.7477868,-0.4962181091308594,-0.42631347656250007,2.432142333984375,0.012681383639574051,0.021962236613035202,-0.005772766191512346
1778957991.768612,-0.5104385375976562,-0.37317398071289,2.6577232360839846,0.006938355974853039,-0.009345640428364277,0.006146667990833521
1778957991.7869382,-0.46478347778320317,-0.4216731262207034,2.540816345214844,-0.021770380437374115,-0.03600496053695679,0.003936725668609142
1778957991.807217,-0.4571493530273438,-0.4290078735351557,2.342478790283203,-0.0017184535972774029,-0.015208050608634949,0.006895840167999268
1778957991.826964,-0.4549040222167969,-0.4641847229003915,2.3596929931640624,0.007312268018722534,0.011623725295066833,0.006361018400639296
1778957991.847643,-0.5002597045898438,-0.4093986511230465,2.4742048645019534,-0.014645572751760483,0.011684998869895935,0.0011412985622882843
1778957991.870027,-0.5725593566894531,-0.3668870544433602,2.4999513244628906,0.010422187857329845,-0.006669104564934969,0.006165991071611643
1778957991.8912344,-0.5851332092285156,-0.4001179504394532,2.525697784423828,0.001294323243200779,-0.028305048123002052,0.008951742202043533
1778957991.9115126,-0.45640090942382816,-0.389040985107421,2.289039916992188,-0.027416031807661057,0.00011924793943762779,0.016618799418210983
1778957991.9313483,-0.4436773681640625,-0.4382885742187508,2.228565673828125,-0.02883407473564148,0.0030559664592146873,0.021624067798256874
1778957991.9529698,-0.4920268249511719,-0.4516108703613284,2.378104705810547,-0.028035052120685577,-0.014101370237767696,0.008158285170793533
1778957991.9737806,-0.4656816101074219,-0.41957748413086016,2.4218138122558597,-0.010702673345804214,-0.022381840273737907,-0.0024826079607009888
1778957991.9945743,-0.43200164794921875,-0.3388952636718745,2.2924827575683593,0.008236401714384556,-0.038010962307453156,-0.007205225061625242
1778957992.0135636,-0.3998185729980469,-0.34383499145507734,2.180365905761719,-0.004564397037029266,-0.025070063769817352,0.014308764599263668
1778957992.0329413,-0.37901184082031253,-0.34503250122070384,2.1763243103027343,-0.05665964260697365,-0.02760874107480049,0.03218454122543335
1778957992.0536025,-0.4099974060058594,-0.3631448364257821,2.229463806152344,-0.08919163793325424,-0.05271068960428238,0.05053677037358284
1778957992.077708,-0.4122427368164063,-0.43484573364257884,2.2302122497558594,-0.09987182170152664,-0.11675842106342316,0.03320183604955673
1778957992.098227,-0.3457809448242188,-0.489631805419922,1.9044895935058594,-0.031708311289548874,-0.0854121744632721,-0.0064204977825284
1778957992.1484377,-0.4429289245605469,-0.3456312561035162,1.8758990478515627,-0.06832202523946762,-0.0899057611823082,-0.006583076901733875
1778957992.1677961,-0.4827461242675781,-0.2489323425292973,1.924398193359375,-0.15104787051677704,-0.1323537975549698,0.018817629665136337
1778957992.1891205,-0.5099894714355468,-0.3661386108398439,1.8383271789550781,-0.1848629117012024,-0.13679128885269165,0.0012387451715767384
1778957992.212047,-0.5872288513183594,-0.4448748779296867,1.7058526611328126,-0.11569209396839142,-0.09874554723501205,-0.020264383405447006
1778957992.2302554,-0.6206094360351563,-0.5478607177734371,1.924398193359375,-0.07380284368991852,-0.11692363768815994,-0.06517291814088821
1778957992.249483,-0.57719970703125,-0.5099894714355475,1.9413130187988281,-0.07571467012166977,-0.14672963321208954,-0.10024721920490265
