timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1778808080.7222784,-0.9463320922851562,-9.789792022705079,-0.9572593688964844,0.015984613448381424,-0.3921818733215332,0.20125816762447357
1778808080.7425735,-1.1044033813476564,-9.743238830566407,-0.42391845703125003,-0.04992422088980675,-0.40549710392951965,0.19022701680660248
1778808080.7620068,-1.1288026428222657,-9.749226379394532,-0.43005569458007814,-0.12477757036685944,-0.41181591153144836,0.17821276187896729
1778808080.7837675,-1.0674302673339844,-9.69878128051758,-0.6653663635253907,-0.1454544961452484,-0.4145207107067108,0.1636100560426712
1778808080.8105714,-1.102756805419922,-9.631571044921875,-0.8812174987792969,-0.14276136457920074,-0.387435644865036,0.17667412757873535
1778808080.8316052,-1.1811936950683595,-9.679770812988282,-0.8879534912109376,-0.1362539380788803,-0.36145174503326416,0.1709347367286682
1778808080.8511524,-1.2147239685058595,-9.716294860839843,-0.9122030639648437,-0.1322738379240036,-0.34845930337905884,0.15211084485054016
1778808080.87204,-1.2048445129394532,-9.819131011962892,-0.9966275024414063,-0.12516818940639496,-0.32557687163352966,0.13868050277233124
1778808080.9268749,-1.2461585998535156,-9.811197509765625,-1.088386688232422,-0.07673640549182892,-0.26647618412971497,0.1587001234292984
1778808080.9467468,-1.5959811401367188,-9.656269683837891,-0.7990383911132813,-0.06465677917003632,-0.24218854308128357,0.16171079874038696
1778808080.9668658,-1.661993865966797,-9.56855209350586,-0.8123606872558594,-0.07162154465913773,-0.24499200284481049,0.17673757672309875
1778808080.9894989,-1.7154327392578126,-9.576036529541016,-0.8536747741699219,-0.09428758174180984,-0.2382585108280182,0.21253184974193573
1778808081.012737,-1.8949095153808595,-9.651180267333984,-0.9886940002441407,-0.09483671188354492,-0.22563309967517853,0.22812867164611816
1778808081.0346951,-2.1764739990234374,-9.73425750732422,-1.071471862792969,-0.07970556616783142,-0.24472001194953918,0.20222815871238708
1778808081.0554414,-2.246378631591797,-9.617500305175781,-0.9238787841796875,-0.07419482618570328,-0.33058157563209534,0.15022119879722595
1778808081.077671,-2.2528152465820312,-9.408235473632812,-0.809366912841797,-0.09078764915466309,-0.40210023522377014,0.12886345386505127
1778808081.0997298,-2.3153851318359377,-9.385782165527344,-0.6535409545898437,-0.13603289425373077,-0.4675196409225464,0.0964483916759491
1778808081.1200123,-2.252366180419922,-9.515412597656251,-0.5686674499511719,-0.1878717690706253,-0.5355901122093201,0.06014321371912956
1778808081.141522,-1.8941610717773438,-9.715396728515625,-0.5986051940917969,-0.22711700201034546,-0.5613118410110474,0.06144154444336891
1778808081.1623187,-1.690734100341797,-9.807305603027345,-0.7071295166015625,-0.2166443169116974,-0.5443938374519348,0.10206031054258347
1778808081.1830077,-1.9360739135742189,-9.882599029541016,-0.7125183105468751,-0.15117575228214264,-0.5081163644790649,0.09329288452863693
